Hora,Psub(TR),Qsub(TR),FP(TR),Psub(SST),Qsub(SST),FP(TR),P Global (TR),Q Global (TR),FP Global(TR),P Global (SST),Q Global(SST),FP Global (SST),P (SST),Q (SST)
158,19.3469,4.8133,0.9704,19.3005,-4.4591,0.9745,58.0509,14.4437,0.9704,114.7688,14.1647,0.9925,18.9561,0.0017,19.0
159,18.7623,4.5129,0.9723,18.7178,-4.4824,0.9726,56.2907,13.5402,0.9723,111.3332,13.2776,0.993,18.3935,0.0017,18.0
160,20.7713,5.5462,0.9662,20.7156,-4.4,0.9783,62.3278,16.6444,0.9661,123.1047,16.3232,0.9913,20.3197,0.0017,20.0
161,19.6092,4.9481,0.9696,19.5613,-4.4485,0.9752,58.8388,14.8486,0.9696,116.3059,14.5621,0.9923,19.2077,0.0017,19.0
162,20.3859,5.3481,0.9673,20.3365,-4.4162,0.9773,61.1816,16.0539,0.9673,120.8724,15.7444,0.9916,19.9547,0.0017,20.0
163,19.5164,4.8999,0.9699,19.4651,-4.4524,0.975,58.5484,14.6993,0.9699,115.7394,14.4156,0.9923,19.115,0.0017,19.0
164,20.428,5.3699,0.9671,20.379,-4.4144,0.9774,61.3102,16.1201,0.9671,121.1229,15.8093,0.9916,19.9957,0.0017,20.0
165,20.4744,5.3933,0.967,20.4206,-4.4126,0.9776,61.4359,16.1849,0.967,121.3678,15.8728,0.9916,20.0357,0.0017,20.0
166,19.6712,4.9795,0.9694,19.6191,-4.4461,0.9754,59.0137,14.9384,0.9694,116.6469,14.6503,0.9922,19.2635,0.0017,19.0
167,19.4216,4.8516,0.9702,19.3742,-4.4562,0.9747,58.2735,14.5581,0.9702,115.2032,14.277,0.9924,19.0272,0.0017,19.0
168,19.1391,4.7065,0.9711,19.0934,-4.4675,0.9738,57.4254,14.1225,0.9711,113.5483,13.8494,0.9926,18.7563,0.0017,19.0
169,21.2065,5.7707,0.9649,21.1474,-4.3812,0.9793,63.6336,17.3179,0.9649,125.6462,16.9831,0.991,20.7351,0.0017,21.0
170,19.3552,4.8176,0.9704,19.3089,-4.4588,0.9745,58.0762,14.4567,0.9704,114.8183,14.1775,0.9925,18.9642,0.0017,19.0
171,19.3313,4.8053,0.9705,19.2856,-4.4597,0.9744,58.0058,14.4205,0.9705,114.6809,14.142,0.9925,18.9417,0.0017,19.0
172,19.4134,4.8476,0.9702,19.3676,-4.4564,0.9747,58.2538,14.5479,0.9702,115.1647,14.267,0.9924,19.0209,0.0017,19.0
173,19.2114,4.7437,0.9708,19.1657,-4.4646,0.974,57.6437,14.2346,0.9708,113.9744,13.9595,0.9926,18.826,0.0017,19.0
174,19.5512,4.9185,0.9698,19.5057,-4.4508,0.9751,58.671,14.7623,0.9698,115.9786,14.4775,0.9923,19.1541,0.0017,19.0
175,20.0769,5.1889,0.9682,20.0286,-4.4292,0.9765,60.251,15.5749,0.9682,119.0592,15.2746,0.9919,19.6582,0.0017,20.0
